FID,FEWS_ID,X,Y,REGION,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
0,CH01,0.0,0.0,Chaudiere,-71.3224253545,46.5158426143,-71.1665706586,46.7740141334
1,CH02,0.0,0.0,Chaudiere,-71.1665706586,46.3766441454,-70.9952494662,46.5872264444
2,CH03,0.0,0.0,Chaudiere,-70.9952494662,46.2445840596,-70.8584304584,46.4563560891
3,CH04,0.0,0.0,Chaudiere,-70.8584304584,46.1434569669,-70.6764016914,46.3290549253
4,CH05,0.0,0.0,Chaudiere,-70.7430265996,45.8293681141,-70.5895513647,46.1434569669
5,CH06,0.0,0.0,Chaudiere,-70.9060196785,45.5497814459,-70.5895513647,45.8293681141
